,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Offense
UT,14987.0,12769.0,13249.0,13728.0,11336.0,12630.0,12782.0,11347.0,9700.0,8497.0,burglary
UT,63057.0,60499.0,63284.0,64164.0,62033.0,65272.0,65025.0,60480.0,52379.0,50542.0,larceny
UT,5826.0,6127.0,5962.0,7385.0,6974.0,8613.0,9209.0,9105.0,7319.0,6452.0,motor-vehicle-theft
UT,47.0,45.0,47.0,40.0,62.0,50.0,71.0,63.0,58.0,64.0,homicide
UT,1208.0,1237.0,1377.0,1389.0,1380.0,1513.0,1422.0,1589.0,1604.0,1566.0,rape
UT,1657.0,1392.0,1375.0,1613.0,1697.0,1739.0,2004.0,1828.0,1528.0,1389.0,robbery
UT,285.0,281.0,277.0,240.0,301.0,230.0,274.0,222.0,178.0,195.0,arson
UT,6152.0,5859.0,6192.0,6450.0,6251.0,6881.0,7336.0,7140.0,6976.0,6973.0,violent-crime
UT,84155.0,79676.0,82772.0,85517.0,80644.0,86745.0,87290.0,81154.0,69576.0,65686.0,property-crime
MN,,,,,,,24.0,136.0,508.0,3644.0,aggravated-assault
MN,,,,,,,86.0,587.0,1942.0,7719.0,burglary
MN,,,,,,,434.0,2065.0,7349.0,31038.0,larceny
MN,,,,,,,30.0,191.0,667.0,4684.0,motor-vehicle-theft
MN,,,,,,,,3.0,5.0,59.0,homicide
MN,,,,,,,5.0,49.0,229.0,885.0,rape
MN,,,,,,,7.0,14.0,114.0,1826.0,robbery
MN,,,,,,,,23.0,50.0,174.0,arson
MN,,,,,,,36.0,202.0,856.0,6414.0,violent-crime
MN,,,,,,,550.0,2866.0,10008.0,43615.0,property-crime
MO,4223.0,4112.0,4530.0,4225.0,4273.0,5093.0,6145.0,6822.0,7169.0,7580.0,aggravated-assault
MO,9193.0,9078.0,9805.0,8897.0,8281.0,7314.0,7421.0,7315.0,7682.0,8126.0,burglary
MO,23115.0,22842.0,25008.0,23046.0,22416.0,21238.0,21543.0,24392.0,29366.0,36273.0,larceny
MO,3588.0,3962.0,4138.0,4803.0,4670.0,4757.0,4838.0,5653.0,6413.0,7399.0,motor-vehicle-theft
MO,109.0,111.0,115.0,103.0,86.0,116.0,137.0,158.0,167.0,185.0,homicide
MO,478.0,521.0,549.0,508.0,568.0,530.0,598.0,704.0,887.0,1057.0,rape
MO,2701.0,2651.0,2646.0,2640.0,2609.0,2809.0,3033.0,3069.0,2694.0,2606.0,robbery
MO,490.0,386.0,388.0,313.0,331.0,301.0,311.0,342.0,407.0,420.0,arson
MO,7511.0,7395.0,7840.0,7476.0,7536.0,8548.0,9913.0,10753.0,10917.0,11428.0,violent-crime
MO,36386.0,36268.0,39339.0,37059.0,35698.0,33610.0,34113.0,37702.0,43868.0,52218.0,property-crime
IL,1657.0,1437.0,1488.0,1537.0,1316.0,1707.0,1799.0,1803.0,1580.0,1316.0,aggravated-assault
IL,2893.0,2293.0,2861.0,2384.0,2079.0,1769.0,1791.0,1844.0,1456.0,1295.0,burglary
IL,5563.0,5323.0,5566.0,5142.0,4843.0,4402.0,4209.0,3961.0,4317.0,3876.0,larceny
IL,483.0,548.0,436.0,427.0,451.0,539.0,535.0,502.0,499.0,435.0,motor-vehicle-theft
IL,23.0,23.0,13.0,19.0,17.0,19.0,26.0,18.0,23.0,14.0,homicide
IL,149.0,140.0,162.0,151.0,143.0,165.0,150.0,125.0,142.0,125.0,rape
IL,725.0,809.0,640.0,522.0,535.0,661.0,745.0,583.0,465.0,362.0,robbery
IL,97.0,93.0,115.0,133.0,110.0,94.0,124.0,74.0,94.0,101.0,arson
IL,2554.0,2409.0,2303.0,2229.0,2011.0,2552.0,2720.0,2529.0,2210.0,1817.0,violent-crime
IL,9036.0,8257.0,8978.0,8086.0,7483.0,6804.0,6659.0,6381.0,6366.0,5707.0,property-crime
IN,,,,,191.0,257.0,231.0,652.0,1476.0,5182.0,aggravated-assault
IN,,,,1.0,230.0,230.0,212.0,1047.0,2537.0,8011.0,burglary
IN,,,,23.0,1052.0,959.0,1031.0,3359.0,8015.0,30823.0,larceny
IN,,,,1.0,312.0,315.0,404.0,867.0,1648.0,5135.0,motor-vehicle-theft
IN,,,,,20.0,9.0,21.0,18.0,43.0,106.0,homicide
IN,,,,,81.0,86.0,100.0,178.0,242.0,690.0,rape
IN,,,,,27.0,38.0,34.0,250.0,524.0,2876.0,robbery
IN,,,,,10.0,5.0,11.0,25.0,98.0,407.0,arson
IN,,,,,319.0,390.0,386.0,1098.0,2285.0,8854.0,violent-crime
IN,,,,25.0,1604.0,1509.0,1658.0,5298.0,12298.0,44376.0,property-crime
MS,65.0,140.0,121.0,183.0,155.0,222.0,214.0,339.0,640.0,685.0,aggravated-assault
MS,974.0,1479.0,1768.0,1720.0,1730.0,1827.0,1851.0,1987.0,2849.0,3109.0,burglary
MS,2721.0,3529.0,3992.0,4687.0,5064.0,5391.0,5624.0,5966.0,9217.0,13306.0,larceny
MS,159.0,210.0,288.0,299.0,308.0,449.0,495.0,531.0,958.0,1538.0,motor-vehicle-theft
MS,6.0,12.0,4.0,6.0,6.0,11.0,14.0,15.0,19.0,54.0,homicide
MS,27.0,46.0,56.0,62.0,66.0,77.0,67.0,78.0,113.0,205.0,rape
MS,91.0,191.0,209.0,209.0,240.0,240.0,277.0,255.0,346.0,399.0,robbery
MS,16.0,19.0,24.0,31.0,46.0,49.0,46.0,33.0,48.0,63.0,arson
MS,189.0,389.0,390.0,460.0,467.0,550.0,572.0,687.0,1118.0,1343.0,violent-crime
MS,3870.0,5237.0,6072.0,6737.0,7148.0,7716.0,8016.0,8517.0,13072.0,18016.0,property-crime
