,index,Unnamed: 0,ori,agency_name,agency_type_name,state_name,state_abbr,division_name,region_name,region_desc,county_name,nibrs,latitude,longitude,nibrs_start_date,Cases
175,15377,15377,KS0872100,Kechi Police Department,City,Kansas,KS,West North Central,Midwest,Region II,SEDGWICK,True,37.681045,-97.461054,04/01/2003,
176,15378,15378,KS0140200,Wakefield Police Department,City,Kansas,KS,West North Central,Midwest,Region II,CLAY,True,39.22047,-97.017204,01/01/2000,
177,15379,15379,KS0440600,Oskaloosa Police Department,City,Kansas,KS,West North Central,Midwest,Region II,JEFFERSON,True,39.239644,-95.375314,02/01/2000,
178,15380,15380,KS0190700,Pittsburg State University,University or College,Kansas,KS,West North Central,Midwest,Region II,CRAWFORD,True,37.505628,-94.853941,01/01/2000,75.0
179,15381,15381,KS0220300,Wathena Police Department,City,Kansas,KS,West North Central,Midwest,Region II,DONIPHAN,True,39.759754,-94.94611,01/01/2000,
180,15382,15382,KS0520500,Basehor Police Department,City,Kansas,KS,West North Central,Midwest,Region II,LEAVENWORTH,True,39.189511,-95.038977,01/01/2000,54.0
181,15383,15383,KS0700100,Osage City Police Department,City,Kansas,KS,West North Central,Midwest,Region II,OSAGE,True,38.648409,-95.707596,01/01/2000,39.0
182,15384,15384,KS0461200,Gardner Police Department,City,Kansas,KS,West North Central,Midwest,Region II,JOHNSON,True,38.883907,-94.82233,01/01/2000,749.0
183,15385,15385,KS0310000,Geary County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,GEARY,True,39.002155,-96.768038,01/01/2000,899.0
184,15386,15386,KS0070100,Hiawatha Police Department,City,Kansas,KS,West North Central,Midwest,Region II,BROWN,True,39.852924,-95.53238,01/01/2000,202.0
185,15387,15387,KS0150000,Cloud County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,CLOUD,True,39.568485,-97.6594,01/01/2000,
186,15388,15388,KS1040100,Yates Center Police Department,City,Kansas,KS,West North Central,Midwest,Region II,WOODSON,False,37.881382,-95.73223,01/01/2000,
187,15389,15389,KS0540100,Mound City Police Department,City,Kansas,KS,West North Central,Midwest,Region II,LINN,True,38.216549,-94.844932,01/01/2000,
